signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-12-14,2016-12-15,2016-03-11,long,3026.4368,3327.1429,98957.18,0.0987
2017-05-08,2017-05-09,2017-02-21,long,3490.0855,3327.5901,-52046.76,-0.047131
2017-11-30,2017-12-01,2017-06-01,long,3499.8142,3984.3776,145098.17,0.137771
2018-02-06,2018-02-07,2018-01-11,long,4211.799,4048.4228,-47250.56,-0.039367
2019-05-06,2019-05-07,2019-02-12,long,3335.3606,3671.8341,117212.58,0.10022
2020-02-03,2020-02-04,2019-07-02,long,3942.4257,3652.0035,-95725.84,-0.074222
2020-03-16,2020-03-17,2020-02-13,long,3999.5495,3618.307,-114509.52,-0.095864
2021-02-26,2021-03-01,2020-05-11,long,3998.0972,5345.9449,363973.96,0.33632
2022-08-03,2022-08-04,2022-06-13,long,4218.2327,4064.6594,-54479.69,-0.036985
2023-03-16,2023-03-17,2022-11-16,long,3877.6781,3945.2501,23949.49,0.016816
2024-06-25,2024-06-26,2024-02-22,long,3486.6826,3442.2982,-19551.02,-0.013322
2024-10-09,2024-10-10,2024-09-25,long,3465.4882,3912.7708,186605.96,0.12839
2026-03-23,2026-03-24,2025-05-14,long,3960.5228,4394.2943,180045.7,0.108858
2026-07-17,2026-07-20,2026-04-21,long,4776.8258,4521.1808,-99303.95,-0.054086
