signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-09-14,2016-09-19,2016-01-26,long,3106.5302,3242.7429,43261.88,0.043221
2016-12-12,2016-12-13,2016-10-25,long,3373.9139,3370.5956,-1654.86,-0.001583
2017-05-02,2017-05-03,2017-02-10,long,3422.3256,3403.0782,-6507.58,-0.006221
2017-08-11,2017-08-14,2017-05-26,long,3498.3148,3651.3754,44880.49,0.043127
2017-11-27,2017-11-28,2017-08-28,long,3866.9422,4010.2955,39591.0,0.036449
2018-02-06,2018-02-07,2018-01-05,long,4151.2818,4048.4228,-28598.49,-0.025363
2018-03-23,2018-03-26,2018-02-23,long,4085.2008,3829.9155,-69322.47,-0.063053
2018-08-02,2018-08-03,2018-07-25,long,3589.9841,3315.2008,-79803.03,-0.077096
2018-10-11,2018-10-12,2018-09-25,long,3394.3771,3094.9657,-84969.5,-0.088755
2018-12-21,2018-12-24,2018-10-23,long,3276.0205,3007.3292,-72060.63,-0.082568
2019-05-06,2019-05-07,2019-01-21,long,3199.2134,3671.8341,117858.53,0.147042
2019-08-05,2019-08-06,2019-06-21,long,3856.0856,3575.8626,-67451.22,-0.073227
2019-11-22,2019-11-25,2019-08-26,long,3778.8665,3839.4201,13170.13,0.015415
2020-01-23,2020-02-03,2019-12-17,long,4067.1355,3639.9089,-91683.5,-0.105581
2020-02-28,2020-03-02,2020-02-07,long,3899.8837,3968.8435,13262.82,0.017072
2020-03-12,2020-03-13,2020-03-06,long,4181.3102,3765.1479,-79087.31,-0.100069
2020-07-16,2020-07-17,2020-04-15,long,3829.8009,4485.8214,121488.51,0.170591
2020-09-24,2020-09-25,2020-08-31,long,4901.2115,4554.7199,-59508.7,-0.071253
2021-02-24,2021-02-25,2020-11-06,long,4897.6295,5444.1646,86163.29,0.110925
2021-07-26,2021-07-27,2021-05-26,long,5344.2837,4749.0327,-96917.4,-0.111914
2021-08-20,2021-08-23,2021-08-11,long,5059.7887,4764.0089,-45422.09,-0.059022
2021-12-20,2021-12-21,2021-12-10,long,5060.0554,4872.9491,-27311.64,-0.037555
2022-07-21,2022-07-22,2022-06-07,long,4198.0863,4207.3135,1124.76,0.001597
2023-02-17,2023-02-20,2022-11-07,long,3792.7942,4035.4762,44878.89,0.063347
2023-04-24,2023-04-25,2023-04-10,long,4132.2952,3925.436,-38217.73,-0.050629
2023-07-24,2023-07-25,2023-06-19,long,3957.0327,3866.6445,-16825.64,-0.023429
2023-08-11,2023-08-14,2023-07-31,long,4064.3621,3814.0711,-43594.99,-0.062145
2023-12-04,2023-12-05,2023-11-07,long,3628.4615,3393.8139,-43055.06,-0.06523
2024-06-11,2024-06-12,2024-02-08,long,3367.2101,3531.5657,29808.72,0.048181
2024-07-25,2024-07-26,2024-07-22,long,3540.1874,3388.6601,-28175.46,-0.043376
2024-10-11,2024-10-14,2024-09-25,long,3465.4882,3868.779,72070.76,0.115704
2025-04-07,2025-04-08,2025-02-24,long,3995.9456,3583.8746,-72415.45,-0.10366
2025-11-21,2025-11-24,2025-05-09,long,3853.6632,4421.8123,91994.22,0.146743
2026-02-02,2026-02-03,2025-12-26,long,4676.131,4578.2087,-15498.67,-0.021528
2026-05-21,2026-05-22,2026-04-14,long,4701.2837,4785.3486,12196.8,0.017271
2026-07-08,2026-07-09,2026-06-18,long,4976.8909,4734.8666,-35385.89,-0.0492
