signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-06-13,2016-06-14,2016-05-26,short,2.587,2.725,-53343.64,-0.053344
2016-08-22,2016-08-23,2016-06-14,long,2.725,2.855,45161.59,0.047706
2017-05-24,2017-05-25,2017-05-05,short,2.731,2.791,-21790.21,-0.02197
2018-11-20,2018-11-21,2018-11-14,short,2.684,2.723,-14095.04,-0.014531
2019-03-21,2019-03-22,2019-03-01,short,2.821,2.834,-4405.22,-0.004608
2020-04-03,2020-04-07,2020-03-04,short,3.607,3.691,-22159.22,-0.023288
2020-09-01,2020-09-02,2020-08-13,short,4.04,4.136,-22084.0,-0.023762
2020-12-24,2020-12-25,2020-12-21,long,3.897,3.833,-14900.23,-0.016423
2021-02-01,2021-02-02,2021-01-12,short,3.767,3.821,-12792.34,-0.014335
2022-08-18,2022-08-19,2022-08-01,long,3.752,3.753,234.43,0.000267
2023-02-14,2023-02-15,2023-02-13,short,4.005,4.023,-3954.27,-0.004494
2023-10-19,2023-10-20,2023-10-09,short,4.391,4.605,-42686.53,-0.048736
2023-11-10,2023-11-13,2023-10-20,long,4.605,4.522,-15017.24,-0.018024
2024-11-26,2024-11-27,2024-11-25,long,6.013,5.856,-21362.45,-0.02611
2026-02-25,2026-02-26,2026-02-03,short,10.105,10.944,-66157.34,-0.083028
