signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-12-16,2016-12-19,2016-01-25,long,3149.3322,3324.9986,55194.46,0.055146
2018-03-05,2018-03-06,2017-02-10,long,3422.3256,3998.9317,177537.96,0.167783
2018-12-26,2018-12-27,2018-07-25,long,3589.9841,2990.5057,-208136.42,-0.167486
2019-05-09,2019-05-10,2019-01-21,long,3199.2134,3589.2906,125559.35,0.121256
2020-03-30,2020-03-31,2019-06-21,long,3856.0856,3676.2024,-54920.02,-0.047221
2021-03-09,2021-03-10,2020-05-06,long,3937.6909,4981.6161,293314.75,0.264352
2022-01-11,2022-01-12,2021-05-26,long,5344.2837,4810.919,-141190.77,-0.100341
2022-07-25,2022-07-26,2022-06-07,long,4198.0863,4214.5343,4220.55,0.003316
2023-05-31,2023-06-01,2022-11-07,long,3792.7942,3786.7344,-2816.69,-0.002197
2023-08-21,2023-08-22,2023-06-19,long,3957.0327,3704.6785,-82371.37,-0.064335
2023-12-05,2023-12-06,2023-11-07,long,3628.4615,3382.9457,-81966.61,-0.068223
2024-06-19,2024-06-20,2024-02-19,long,3403.8078,3500.131,31073.56,0.027682
2024-08-12,2024-08-13,2024-07-19,long,3545.3383,3310.1909,-77255.48,-0.066886
2024-10-28,2024-10-29,2024-09-25,long,3465.4882,3921.5795,141356.19,0.130931
2025-04-28,2025-04-29,2025-02-10,long,3906.3678,3768.0311,-44119.65,-0.035992
,2026-07-31,2025-05-07,long,3863.6776,4588.1968,220791.43,0.186808
