er_period,fast,slow,multiplier,total_return,annual_return,max_dd,max_dd_days,sharpe,calmar,daily_vol,n_trades,win_rate,profit_factor,avg_hold_days
5,2,6,2.0,-0.67411757,-0.1041509010876136,-0.6770023188278597,2563,-0.9803344049043903,-0.15384127674471954,0.13363415188773214,72,0.2777777777777778,1.1244583091383777,25.958333333333332
5,2,6,2.5,-0.33978062,-0.039908232693683376,-0.42674629710036316,2563,-0.49476296842525613,-0.0935174668529055,0.1266973726962029,47,0.3829787234042553,1.1114749301305007,37.170212765957444
5,2,6,3.0,-0.24288788,-0.02692457524831915,-0.288862423827632,1323,-0.35167448426078035,-0.09320899164228227,0.13633784243446354,36,0.3333333333333333,1.5006797478753338,51.916666666666664
5,2,6,3.5,-0.31423081999999997,-0.036325730259029965,-0.41385069824542514,1766,-0.3979692360213541,-0.08777496428793695,0.1426454302406589,29,0.3793103448275862,1.0938157818284013,69.03448275862068
5,2,6,4.0,-0.277048,-0.03132146810919645,-0.42623967060451856,1766,-0.3679447959074256,-0.07348323084234387,0.1409168102424822,25,0.32,1.5836918412189287,80.6
5,2,6,4.5,-0.20969324,-0.022820134774142353,-0.3947594090030245,1323,-0.3020497292050304,-0.057807703258486526,0.14217547550756618,21,0.2857142857142857,1.8955405011988604,97.71428571428571
5,2,6,5.0,-0.20059106999999995,-0.021721849616346156,-0.4229931601519173,1323,-0.29798796632735697,-0.051352720711949074,0.1409362404899313,19,0.3157894736842105,1.625704729886792,108.15789473684211
5,2,7,2.0,-0.65741348,-0.09974739609847261,-0.678635859655959,2563,-0.9402613967379116,-0.14698220655336502,0.13405756042036843,71,0.28169014084507044,1.163598020383651,26.577464788732396
5,2,7,2.5,-0.30133777,-0.03456338787804536,-0.39336723164801923,2563,-0.4490573551764171,-0.08786544759521887,0.1271152034669818,46,0.391304347826087,1.1204143834554967,38.17391304347826
5,2,7,3.0,-0.24288788,-0.02692457524831915,-0.288862423827632,1323,-0.35167448426078035,-0.09320899164228227,0.13633784243446354,36,0.3333333333333333,1.5006797478753338,51.916666666666664
5,2,7,3.5,-0.30444014,-0.03498475219531294,-0.4054822804987675,1766,-0.38986924508093546,-0.08627936133800865,0.14220327842622904,29,0.3793103448275862,1.1146457480744243,68.44827586206897
5,2,7,4.0,-0.29678161999999997,-0.03394761979684546,-0.43743250004378,1766,-0.387495773680006,-0.0776065331072745,0.1408398073585775,25,0.32,1.5461212316812643,80.32
5,2,7,4.5,-0.23256934999999998,-0.025631612063264475,-0.39748733256554386,1323,-0.32292453769573826,-0.06448409789018356,0.14198809285776817,21,0.2857142857142857,1.8366677980690027,97.33333333333333
5,2,7,5.0,-0.21921027,-0.02398074608101486,-0.42802926990943546,1323,-0.31487796633807147,-0.05602594908074586,0.14078494290679733,19,0.3157894736842105,1.5728960876758689,107.6842105263158
5,2,8,2.0,-0.6447229,-0.09652955479204905,-0.6667314303713618,2563,-0.9147802626123006,-0.14478026742834546,0.13391427488162871,71,0.28169014084507044,1.1928082810336347,26.676056338028168
5,2,8,2.5,-0.31907576,-0.0369957148297867,-0.3548479486598027,2563,-0.46432085374824184,-0.10425793630627682,0.12809935752805018,47,0.3829787234042553,1.1300416105190725,37.8936170212766
5,2,8,3.0,-0.31102911,-0.035885319315555164,-0.37657947374758277,2563,-0.4119139996230603,-0.09529281816249155,0.1382195998892057,35,0.34285714285714286,1.3509825868591918,53.6
5,2,8,3.5,-0.27380231999999993,-0.030895737667576584,-0.39621170918451026,1766,-0.36435050399529584,-0.07797785111188844,0.1410464883202515,29,0.3793103448275862,1.1695233353651178,68.34482758620689
5,2,8,4.0,-0.18399599,-0.019748165774678195,-0.3659403111923004,1323,-0.28964298460626464,-0.05396553801447854,0.13896831763943515,24,0.3333333333333333,1.6484130125698773,82.95833333333333
5,2,8,4.5,-0.24307269999999995,-0.02694787866075743,-0.4029236739894488,1323,-0.33278218520236447,-0.06688085213246393,0.14188692179900195,21,0.3333333333333333,1.4520114578421615,97.04761904761905
5,2,8,5.0,-0.23411821999999996,-0.025824689286501723,-0.4280292722151801,1323,-0.329104528113545,-0.060333932660379036,0.1405463581098839,19,0.3157894736842105,1.5141520685416636,107.05263157894737
5,2,10,2.0,-0.64015238,-0.09539600024340744,-0.6572493422457069,2563,-0.9071707199426353,-0.1451443069040676,0.1336894342119726,71,0.28169014084507044,1.2182154745746094,26.408450704225352
5,2,10,2.5,-0.3098916,-0.03572929353907239,-0.34303092838434135,2563,-0.4539223686086815,-0.10415764463967023,0.12813063990199958,47,0.3829787234042553,1.1491081857844987,38.08510638297872
5,2,10,3.0,-0.34105862,-0.04009069416481226,-0.3999918728814699,2563,-0.4448544121777596,-0.1002287718398028,0.137906996378704,35,0.3142857142857143,1.4706675658935182,52.885714285714286
5,2,10,3.5,-0.24953280000000005,-0.02776565576907819,-0.3781132490692075,1766,-0.34525262087953534,-0.07343211547711764,0.13995705185935897,29,0.3793103448275862,1.1988297763248277,67.44827586206897
5,2,10,4.0,-0.18847192000000004,-0.02027690528266668,-0.36594031397548016,1323,-0.2936770607349762,-0.05541041669441573,0.13891960888084257,24,0.3333333333333333,1.6388111673831558,82.875
5,2,10,4.5,-0.24191970999999995,-0.026802585298612236,-0.40292367022381514,1323,-0.33173221487513016,-0.0665202550242928,0.14188627755532163,21,0.3333333333333333,1.4557005672836643,97.0
5,2,10,5.0,-0.23631318000000004,-0.026098910070233572,-0.4296684988202997,1323,-0.3310912002816198,-0.0607419676841353,0.14055118575770342,19,0.3157894736842105,1.5095864240305765,106.94736842105263
5,2,15,2.0,-0.63984811,-0.09532099875215061,-0.655454410376651,2064,-0.9163121455545332,-0.14542735122855494,0.13245231207117114,71,0.29577464788732394,1.1081633136619882,26.295774647887324
5,2,15,2.5,-0.23131868999999994,-0.025475965051163008,-0.30753900204682433,2563,-0.3629611906675803,-0.08283815997843476,0.1303134453401248,45,0.4,1.1629934434572078,39.91111111111111
