st_period,st_mult,n,k,atr_period,hv_threshold,total_return,annual_return,max_dd,max_dd_days,sharpe,calmar,daily_vol,n_trades,win_rate,profit_factor,avg_hold_days
34,4.9,22,5.5,1,0.99,0.3854590318953381,0.03249819027698253,-0.2511942121031982,1230,0.07195614617306016,0.12937475750289695,0.10680909381419576,14,0.5,1.7427268498225708,46.785714285714285
34,4.9,22,5.5,2,0.99,0.6599598516593087,0.05096911555138095,-0.25178723672062564,1322,0.2205329446604901,0.20242930585053645,0.12492463093239467,12,0.5833333333333334,2.1061875432297206,99.0
34,4.9,22,5.5,3,0.99,0.8441125121102407,0.061871072668795435,-0.21880536003794698,772,0.29539069194917805,0.2827676280785135,0.13084074195734022,11,0.6363636363636364,2.5692157657647696,118.36363636363636
34,4.9,22,5.5,4,0.99,0.8600055190977927,0.06276529383243812,-0.21880536003794698,1322,0.30087902731369837,0.2868544619818859,0.13156596788347355,11,0.6363636363636364,2.4157455449636025,119.0909090909091
34,4.9,22,5.5,5,0.99,1.181309560808953,0.07950752858219956,-0.21880536003794715,880,0.4062001362095083,0.3633710278779764,0.13814972136170836,10,0.7,3.386987731502515,143.5
34,4.9,22,5.5,6,0.99,0.9933764410660036,0.07000919151614116,-0.2188053600379474,880,0.34026219100444555,0.31996104439123185,0.13947246598901505,10,0.7,3.062700897582775,146.7
34,4.9,22,5.5,7,0.99,0.9230468309322645,0.06624575715264558,-0.2262045695965562,880,0.31568335881531134,0.2928577317018715,0.13892523328564857,10,0.7,2.3598322750472764,146.2
34,4.9,22,5.5,8,0.99,0.7684209369207224,0.057514499329182955,-0.22620456959655583,880,0.2564000895505446,0.2542587863355819,0.13900222541026316,11,0.6363636363636364,2.1066981560264133,131.8181818181818
34,4.9,22,5.5,9,0.99,0.6453543279777304,0.05005841549017398,-0.29357629179596934,880,0.2064861633152457,0.1705124592450529,0.13693489471065076,12,0.5,2.6096119912249187,117.08333333333333
34,4.9,22,5.5,10,0.99,0.6481704717631249,0.05023457671114939,-0.293576291795969,880,0.2077185277812622,0.17111251185794543,0.13692205938926016,12,0.5,2.615659499590369,117.0
34,4.9,22,5.5,11,0.99,0.6621985700309365,0.05110806738575491,-0.293576291795969,880,0.21379928522093036,0.17408785659461298,0.1369129000434239,12,0.5,2.685357591700271,116.58333333333333
34,4.9,22,5.5,12,0.99,0.6621985700309365,0.05110806738575491,-0.293576291795969,880,0.21379928522093036,0.17408785659461298,0.1369129000434239,12,0.5,2.685357591700271,116.58333333333333
34,4.9,22,5.5,13,0.99,0.6827088838628288,0.05237329509584243,-0.284859540250883,880,0.22291646909627985,0.1838565597968597,0.1363839605760064,12,0.5,2.7856020257098195,116.41666666666667
34,4.9,22,5.5,14,0.99,0.6827088838628288,0.05237329509584243,-0.284859540250883,880,0.22291646909627985,0.1838565597968597,0.1363839605760064,12,0.5,2.7856020257098195,116.41666666666667
34,4.9,22,5.5,15,0.99,0.6412860814167788,0.049803449380149134,-0.284859540250883,880,0.2053090612916331,0.17483511114384997,0.13575268758696965,12,0.5,2.685246767165465,115.75
34,4.9,22,5.5,16,0.99,0.5734822288338279,0.0454678894699978,-0.30187393220248215,880,0.1745211928591865,0.15061880016688617,0.1369654669332434,12,0.5,2.438204402924042,115.58333333333333
34,4.9,22,5.5,17,0.99,0.5461415049462297,0.04367182167014971,-0.30187393220248215,1097,0.16193231693170818,0.14466907212397792,0.13712821440192655,12,0.5,2.3154078500289934,115.75
