signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-04-20,2016-04-21,2016-03-07,long,7670.9569,8185.3709,66576.97,0.06642
2017-03-28,2017-03-29,2017-02-27,long,8546.6197,8484.7367,-8479.03,-0.007836
2017-09-25,2017-09-26,2017-08-18,long,7595.2715,7697.1067,13820.2,0.0128
2018-03-21,2018-03-22,2018-03-02,long,6672.9623,6729.1638,8600.24,0.007817
2018-11-23,2018-11-26,2018-11-14,long,4848.0583,4610.5842,-55458.34,-0.049554
2019-03-08,2019-03-11,2019-02-19,long,4988.2604,5645.1845,139805.35,0.131015
2019-09-18,2019-09-19,2019-09-06,long,5479.1152,5468.754,-3027.04,-0.00249
2019-12-23,2019-12-24,2019-12-18,long,5575.6487,5386.9678,-41888.21,-0.03442
2020-02-28,2020-03-02,2020-02-11,long,5666.7273,5931.04,54161.44,0.046015
2020-07-15,2020-07-16,2020-07-01,long,6357.1034,6748.5027,75379.28,0.060932
2021-06-16,2021-06-17,2021-05-28,long,6735.5503,6669.6653,-13787.99,-0.010376
2021-12-07,2021-12-08,2021-11-30,long,8082.8967,7803.4436,-46532.68,-0.035153
2022-07-12,2022-07-13,2022-05-23,long,6345.0006,6737.8762,78765.74,0.061282
2022-11-25,2022-11-28,2022-11-07,long,6749.7555,6412.0319,-69343.19,-0.050605
2023-11-24,2023-11-27,2023-11-09,long,6160.979,6076.7107,-18817.75,-0.014269
2024-03-26,2024-03-27,2024-02-20,long,5058.2174,5266.2306,52814.24,0.040499
2024-10-09,2024-10-10,2024-09-27,long,5164.5422,5593.9827,112769.51,0.082502
2024-11-14,2024-11-15,2024-11-06,long,6368.8685,6124.6613,-57653.49,-0.038921
2025-02-28,2025-03-03,2025-02-21,long,6456.9191,6240.5682,-48708.39,-0.034087
2025-08-27,2025-08-28,2025-06-26,long,6310.5358,7216.7658,198176.22,0.14292
2026-05-15,2026-05-18,2026-04-21,long,8358.1241,8610.7417,47345.94,0.029606
