signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-09,2016-05-10,2016-03-11,long,3026.4368,3055.1831,8915.94,0.008893
2017-05-08,2017-05-09,2017-02-21,long,3490.0855,3327.5901,-48212.21,-0.047131
2017-08-11,2017-08-14,2017-06-01,long,3499.8142,3651.3754,41637.79,0.04268
2018-02-06,2018-02-07,2018-01-11,long,4211.799,4048.4228,-40287.01,-0.039367
2019-04-26,2019-04-29,2019-02-12,long,3335.3606,3875.452,160778.38,0.161232
2019-08-02,2019-08-05,2019-07-02,long,3942.4257,3675.6884,-79189.77,-0.068217
2020-02-28,2020-03-02,2020-02-13,long,3999.5495,3968.8435,-9014.48,-0.008273
2020-05-22,2020-05-25,2020-05-11,long,3998.0972,3800.1796,-54259.13,-0.050073
2022-07-15,2022-07-18,2022-06-13,long,4218.2327,4217.5064,-818.32,-0.000772
2022-12-20,2022-12-21,2022-11-16,long,3877.6781,3821.4037,-16074.37,-0.015104
2024-04-12,2024-04-15,2024-02-22,long,3486.6826,3473.5047,-4664.92,-0.004377
2024-10-09,2024-10-10,2024-09-25,long,3465.4882,3912.7708,137129.09,0.12839
2025-05-27,2025-05-28,2025-05-14,long,3960.5228,3833.9582,-39546.4,-0.032537
2026-05-21,2026-05-22,2026-04-21,long,4776.8258,4785.3486,1409.35,0.001183
