signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2017-03-30,2017-03-31,2016-03-11,long,3026.4368,3430.8197,133282.8,0.132937
2017-08-11,2017-08-14,2017-06-02,long,3498.1189,3651.3754,49169.21,0.043185
2018-01-30,2018-01-31,2018-01-11,long,4211.799,4232.7727,5230.0,0.004377
2019-03-08,2019-03-11,2019-02-12,long,3335.3606,3650.8125,114370.2,0.093921
2019-08-02,2019-08-05,2019-07-02,long,3942.4257,3675.6884,-91280.97,-0.068217
2020-02-28,2020-03-02,2020-02-13,long,3999.5495,3968.8435,-10390.87,-0.008273
2020-07-16,2020-07-17,2020-05-11,long,3998.0972,4485.8214,151529.45,0.121316
2022-07-15,2022-07-18,2022-06-16,long,4302.9212,4217.5064,-29419.45,-0.020438
2023-02-17,2023-02-20,2022-11-16,long,3877.6781,4035.4762,56769.19,0.04007
2024-06-11,2024-06-12,2024-02-22,long,3486.6826,3531.5657,18335.43,0.012265
2024-10-08,2024-10-09,2024-09-25,long,3465.4882,3942.5118,208163.49,0.136967
2025-09-04,2025-09-05,2025-05-15,long,3936.4653,4350.2974,182065.02,0.104465
2026-05-18,2026-05-19,2026-04-21,long,4776.8258,4773.534,-2502.09,-0.001289
