signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-09,2016-05-10,2016-01-25,long,3149.3322,3055.1831,-29894.94,-0.029895
2016-06-03,2016-06-06,2016-05-10,short,3055.1831,3197.2204,-45100.77,-0.046491
2016-09-13,2016-09-14,2016-06-06,long,3197.2204,3231.3355,9870.02,0.01067
2016-10-21,2016-10-24,2016-09-14,short,3231.3355,3382.8259,-43828.47,-0.046882
2016-12-12,2016-12-13,2016-10-24,long,3382.8259,3370.5956,-3221.5,-0.003615
2017-02-09,2017-02-10,2016-12-13,short,3370.5956,3422.3256,-13625.83,-0.015347
2017-05-02,2017-05-03,2017-02-10,long,3422.3256,3403.0782,-4916.55,-0.005624
2017-05-25,2017-05-26,2017-05-03,short,3403.0782,3498.3148,-24327.23,-0.027985
2017-08-11,2017-08-14,2017-05-26,long,3498.3148,3651.3754,36969.02,0.043753
2017-08-25,2017-08-28,2017-08-14,short,3651.3754,3866.9422,-52066.27,-0.059037
2017-11-27,2017-11-28,2017-08-28,long,3866.9422,4010.2955,30764.05,0.037071
2018-01-08,2018-01-09,2017-11-28,short,4010.2955,4191.2843,-38840.74,-0.045131
2018-02-06,2018-02-07,2018-01-09,long,4191.2843,4048.4228,-28010.71,-0.034085
2018-02-26,2018-02-27,2018-02-07,short,4048.4228,4120.8712,-14204.88,-0.017895
2018-03-23,2018-03-26,2018-02-27,long,4120.8712,3829.9155,-55041.5,-0.070605
2018-07-24,2018-07-25,2018-03-26,short,3829.9155,3589.9841,45388.99,0.062647
2018-08-02,2018-08-03,2018-07-25,long,3589.9841,3315.2008,-58930.39,-0.076542
2018-09-21,2018-09-25,2018-08-03,short,3315.2008,3394.3771,-16980.25,-0.023883
2018-10-11,2018-10-12,2018-09-25,long,3394.3771,3094.9657,-61216.57,-0.088208
2018-11-02,2018-11-05,2018-10-12,short,3094.9657,3279.8781,-37806.52,-0.059746
2018-12-20,2018-12-21,2018-11-05,long,3279.8781,3007.6096,-49390.26,-0.083012
2019-01-18,2019-01-21,2018-12-21,short,3007.6096,3199.2134,-34757.46,-0.063706
2019-05-06,2019-05-07,2019-01-21,long,3199.2134,3671.8341,75465.24,0.14773
2019-06-20,2019-06-21,2019-05-07,short,3671.8341,3856.0856,-29420.18,-0.05018
2019-08-05,2019-08-06,2019-06-21,long,3856.0856,3575.8626,-40468.38,-0.07267
2019-08-19,2019-08-20,2019-08-06,short,3575.8626,3799.8977,-32354.01,-0.062652
2019-09-30,2019-10-08,2019-08-20,long,3799.8977,3818.5894,2381.06,0.004919
