signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2017-05-04,2017-05-05,2016-03-11,long,3026.4368,3366.5568,112006.45,0.111716
2017-11-27,2017-11-28,2017-06-02,long,3498.1189,4010.2955,162601.65,0.145727
2018-02-06,2018-02-07,2018-01-11,long,4211.799,4048.4228,-50418.61,-0.039367
2019-03-08,2019-03-11,2019-02-12,long,3335.3606,3650.8125,117210.67,0.093921
2019-08-05,2019-08-06,2019-07-02,long,3942.4257,3575.8626,-128250.24,-0.093523
2020-02-28,2020-03-02,2020-02-13,long,3999.5495,3968.8435,-10359.12,-0.008273
2020-07-16,2020-07-17,2020-05-11,long,3998.0972,4485.8214,151066.38,0.121316
2022-07-25,2022-07-26,2022-06-16,long,4302.9212,4214.5343,-30320.14,-0.021129
2023-03-10,2023-03-13,2022-11-16,long,3877.6781,3962.6426,30050.33,0.021298
2024-06-24,2024-06-25,2024-02-22,long,3486.6826,3440.6464,-20149.83,-0.013795
2024-10-09,2024-10-10,2024-09-25,long,3465.4882,3912.7708,185642.71,0.12839
2025-11-21,2025-11-24,2025-05-15,long,3936.4653,4421.8123,201774.12,0.122621
2026-05-21,2026-05-22,2026-04-21,long,4776.8258,4785.3486,2198.3,0.001183
